Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
349, SUN_EXPOSURE, 24.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
350, SUN_EXPOSURE, 23.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
351, SUN_EXPOSURE, 22.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
352, NORMAL, 21.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
353, NORMAL, 20.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
354, NORMAL, 19.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
355, NORMAL, 18.0, -3.0, -4.0, -4.0, 0, 0, 0, 0
356, NORMAL, 17.0, -4.0, -5.0, -5.0, 0, 0, 0, 0
357, NORMAL, 16.0, -5.0, -6.0, -6.0, 0, 0, 0, 0
358, NORMAL, 15.0, -6.0, -7.0, -7.0, 0, 0, 0, 0
359, NORMAL, 14.0, -7.0, -8.0, -8.0, 0, 0, 0, 0
360, NORMAL, 13.0, -8.0, -9.0, -9.0, 0, 0, 0, 0
361, NORMAL, 12.0, -7.0, -8.0, -8.0, 0, 1, 1, 1
362, NORMAL, 11.0, -6.0, -7.0, -7.0, 0, 1, 1, 1
363, NORMAL, 10.0, -5.0, -6.0, -6.0, 0, 1, 1, 1
364, NORMAL, 9.0, -4.0, -5.0, -5.0, 0, 1, 1, 1
365, NORMAL, 8.0, -3.0, -4.0, -4.0, 0, 1, 1, 1
366, NORMAL, 7.0, -4.0, -3.0, -3.0, 0, 0, 1, 1
367, NORMAL, 6.0, -5.0, -2.0, -2.0, 0, 0, 1, 1
368, NORMAL, 5.0, -6.0, -1.0, -1.0, 0, 0, 1, 1
369, NORMAL, 4.0, -7.0, 0.0, 0.0, 0, 0, 1, 1
370, NORMAL, 3.0, -8.0, 1.0, 1.0, 0, 0, 1, 1
371, NORMAL, 2.0, -7.0, 0.0, 0.0, 0, 1, 0, 0
372, NORMAL, 1.0, -6.0, -1.0, -1.0, 0, 1, 0, 0
373, NORMAL, 0.0, -5.0, -2.0, -2.0, 0, 1, 0, 0
374, NORMAL, -1.0, -4.0, -3.0, -3.0, 0, 1, 0, 0
375, NORMAL, -2.0, -3.0, -4.0, -4.0, 0, 1, 0, 0
376, NORMAL, -3.0, -4.0, -3.0, -3.0, 0, 0, 1, 1
377, NORMAL, -4.0, -5.0, -2.0, -2.0, 0, 0, 1, 1
378, NORMAL, -5.0, -6.0, -1.0, -1.0, 0, 0, 1, 1
379, NORMAL, -6.0, -7.0, 0.0, 0.0, 0, 0, 1, 1
380, NORMAL, -7.0, -8.0, 1.0, 1.0, 0, 0, 1, 1
381, NORMAL, -6.0, -7.0, 0.0, 0.0, 1, 1, 0, 0
382, NORMAL, -5.0, -6.0, -1.0, -1.0, 1, 1, 0, 0
383, NORMAL, -4.0, -5.0, -2.0, -2.0, 1, 1, 0, 0
384, NORMAL, -3.0, -4.0, -3.0, -3.0, 1, 1, 0, 0
385, NORMAL, -2.0, -3.0, -4.0, -4.0, 1, 1, 0, 0
386, NORMAL, -3.0, -2.0, -3.0, -3.0, 0, 1, 1, 1
387, NORMAL, -4.0, -1.0, -2.0, -2.0, 0, 1, 1, 1
388, NORMAL, -5.0, 0.0, -1.0, -1.0, 0, 1, 1, 1
389, NORMAL, -6.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
390, NORMAL, -7.0, 2.0, 1.0, 1.0, 0, 1, 1, 1
391, NORMAL, -6.0, 1.0, 0.0, 0.0, 1, 0, 0, 0
